Time;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
05_12_2022_09_05_31;94.0;64.0;64.0;74.0;0.0;0.0;36.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;77.0;100.0;100.0;100.0
05_12_2022_09_21_59;90.0;65.0;65.0;71.0;0.0;21.0;38.0;0.0;46.0;0.0;13.0;0.0;0.0;0.0;76.0;100.0;100.0;100.0
05_12_2022_09_27_23;90.0;65.0;65.0;71.0;0.0;21.0;38.0;0.0;46.0;0.0;13.0;0.0;0.0;0.0;76.0;100.0;100.0;100.0
05_12_2022_09_32_47;90.0;65.0;65.0;71.0;0.0;21.0;38.0;0.0;46.0;0.0;13.0;0.0;0.0;0.0;76.0;100.0;100.0;100.0
05_12_2022_09_38_11;89.0;64.0;64.0;71.0;0.0;21.0;38.0;0.0;44.0;0.0;13.0;0.0;0.0;1.0;76.0;100.0;100.0;98.0
05_12_2022_10_57_17;88.0;66.0;61.0;79.0;0.0;39.0;40.0;0.0;74.0;18.0;98.0;0.0;68.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_02_41;89.0;66.0;61.0;79.0;0.0;39.0;40.0;0.0;74.0;18.0;98.0;0.0;68.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_08_05;89.0;66.0;61.0;77.0;0.0;39.0;40.0;0.0;74.0;18.0;98.0;1.0;67.0;97.0;77.0;94.0;100.0;100.0
05_12_2022_11_13_29;88.0;62.0;61.0;76.0;0.0;39.0;40.0;0.0;74.0;18.0;98.0;0.0;68.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_18_53;89.0;53.0;60.0;76.0;0.0;40.0;40.0;0.0;74.0;18.0;98.0;0.0;68.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_24_17;89.0;53.0;60.0;76.0;0.0;40.0;40.0;0.0;74.0;18.0;98.0;0.0;24.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_29_41;88.0;52.0;59.0;77.0;0.0;39.0;39.0;0.0;74.0;20.0;97.0;0.0;0.0;97.0;76.0;93.0;100.0;99.0
05_12_2022_11_35_05;89.0;53.0;61.0;79.0;0.0;40.0;40.0;0.0;74.0;18.0;98.0;0.0;0.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_40_29;84.0;52.0;60.0;78.0;0.0;40.0;40.0;0.0;73.0;24.0;96.0;0.0;1.0;97.0;76.0;94.0;100.0;100.0
05_12_2022_11_45_53;80.0;53.0;61.0;78.0;0.0;40.0;42.0;1.0;82.0;37.0;97.0;0.0;0.0;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_51_17;80.0;53.0;60.0;78.0;0.0;40.0;49.0;0.0;91.0;39.0;97.0;0.0;0.0;98.0;77.0;94.0;100.0;100.0
