Time;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
05_12_2022_09_05_31;93.624;64.262;64.138;74.27533333333334;0.0;0.0;35.68666666666667;0.004666666666666667;49.976;0.09133333333333334;0.0;0.0;0.0;0.0;76.794;99.73333333333333;99.73333333333333;99.73333333333333
05_12_2022_09_21_59;89.99866666666667;65.0;64.52333333333333;71.158;0.03933333333333333;20.972;38.0;0.0;46.0;0.004666666666666667;12.974;0.03933333333333333;0.04666666666666667;0.20533333333333334;76.14466666666667;99.66666666666667;99.6;99.6
05_12_2022_09_27_23;89.638;64.776;64.78333333333333;70.81066666666666;0.0;20.958;37.924;0.0;45.89666666666667;0.0;12.934666666666667;0.0;0.0;0.0;75.71466666666667;99.6;99.73333333333333;99.61266666666667
05_12_2022_09_32_47;89.938;64.96133333333333;65.0;71.0;0.0;20.999333333333333;38.0;0.0;45.92066666666667;0.0;12.822;0.0;0.0;0.0;76.0;100.0;100.0;100.0
05_12_2022_09_38_11;89.13866666666667;64.39133333333334;64.26333333333334;71.41066666666667;0.059333333333333335;20.947333333333333;37.898666666666664;0.02266666666666667;43.67333333333333;0.0;12.708;0.032;0.020666666666666667;0.7186666666666667;75.82533333333333;99.88533333333334;99.8;98.34866666666667
05_12_2022_10_57_17;88.40666666666667;65.692;60.766666666666666;78.89466666666667;0.0;39.35333333333333;40.0;0.0;73.962;18.0;98.0;0.10133333333333333;67.83733333333333;97.99333333333334;77.00533333333334;94.0;100.0;100.0
05_12_2022_11_02_41;88.76266666666666;65.868;60.998666666666665;79.0;0.0;39.344;40.0;0.0;73.97;18.065333333333335;98.0;0.02;67.82866666666666;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_08_05;89.0;66.0;60.552;77.398;0.13933333333333334;39.33133333333333;40.0;0.0;73.86;18.418;97.61866666666667;0.524;67.226;97.09666666666666;76.692;93.76266666666666;99.8;99.694
05_12_2022_11_13_29;87.932;61.556666666666665;60.52066666666666;75.848;0.0;39.37466666666667;40.0;0.0;73.86666666666666;18.0;98.0;0.0;67.82466666666667;98.0;77.0;94.0;100.0;100.0
05_12_2022_11_18_53;88.94066666666667;52.964666666666666;60.123333333333335;76.0;0.0;39.686;40.0;0.0;73.818;18.218;97.804;0.12533333333333332;67.74533333333333;97.86933333333333;76.79466666666667;93.78533333333333;99.75133333333333;99.75
05_12_2022_11_24_17;88.94066666666667;52.964666666666666;59.99333333333333;76.0;0.0;39.809333333333335;40.0;0.0;73.814;18.086;97.54266666666666;0.04533333333333334;23.934;97.99666666666667;77.0;94.0;100.0;100.0
05_12_2022_11_29_41;87.99533333333333;52.152;59.45733333333333;77.10866666666666;0.18266666666666667;39.30133333333333;38.74666666666667;0.11;73.538;19.722;97.412;0.4746666666666667;0.49866666666666665;97.28133333333334;76.48666666666666;93.46266666666666;99.6;99.41133333333333
05_12_2022_11_35_05;89.0;53.0;61.00266666666667;79.0;0.0;39.69533333333333;40.0;0.0;73.80933333333333;18.0;98.0;0.0;0.0;98.0;77.0;94.0;100.0;100.0
